Base,Quote,Rate
HKD,ALL,10.2706
HKD,AMD,47.6935
HKD,AOA,116.8414
AUD,HKD,5.0491
HKD,AWG,0.2232
HKD,AZN,0.212
HKD,BAM,0.2091
HKD,BBD,0.2502
HKD,BDT,15.1416
HKD,BIF,369.428
HKD,BMD,0.125
HKD,BND,0.1602
HKD,BOB,0.9702
HKD,BRL,0.6702
HKD,BSD,0.1249
HKD,BWP,1.7908338
HKD,BZD,0.2501
CAD,HKD,5.5224
HKD,CDF,358.4054
CHF,HKD,9.5911
HKD,CLP,120.1639
HKD,CNY,0.91105
HKD,COP,485.1478
HKD,CRC,62.6704
HKD,CVE,11.7935
HKD,DJF,22.217
DKK,HKD,1.1988
HKD,DOP,7.9441
HKD,EGP,6.0046
HKD,ERN,1.8764
HKD,ETB,18.7591
EUR,HKD,8.9494
HKD,FJD,0.2819426
GBP,HKD,10.3481
HKD,GEL,0.3328
HKD,GHS,1.523
HKD,GMD,9.1322
HKD,GNF,1081.0959
HKD,GTQ,0.9575
HKD,GYD,26.6458
HKD,HNL,3.2533
HKD,HTG,16.2312
HKD,IDR,2076
HKD,INR,11.1049
HKD,JMD,19.7654
HKD,JOD,0.0885
HKD,JPY,18.595
HKD,KES,16.1626
HKD,KGS,10.8835
HKD,KHR,500.3915
HKD,KMF,52.5239
HKD,KYD,0.1035
HKD,KZT,67.1094
HKD,LAK,2711.6565
HKD,LBP,11196.2605
HKD,LKR,37.7639
HKD,LSL,2.193537
HKD,MGA,526.0365
HKD,MNT,449.3515
HKD,MOP,1.0001
HKD,MVR,1.929
HKD,MWK,214.796
HKD,MXN,2.3504
HKD,MYR,0.5272
HKD,MZN,8.0613
HKD,NGN,187.2715
HKD,NIO,4.5785
NOK,HKD,0.7702
HKD,NPR,17.5479
NZD,HKD,4.5431
HKD,PEN,0.4347
HKD,PGK,0.5224511
HKD,PKR,35.4289
HKD,PYG,896.9518
HKD,RWF,181.7191
HKD,SBD,1.0210644
HKD,SCR,1.8027
HKD,SEK,1.1793
SGD,HKD,5.9602
HKD,SRD,4.8162
HKD,STN,2.6211
HKD,SZL,2.1949
HKD,THB,4.008
HKD,TOP,0.2930913
HKD,TTD,0.8442
HKD,TWD,3.7514
HKD,TZS,306.4898
HKD,UGX,437.2283
USD,HKD,7.7666
HKD,UYU,4.9413
HKD,VUV,14.6882
HKD,WST,0.3426709
HKD,XCD,0.3362
HKD,XPF,12.7273
ZAR,HKD,0.4354
HKD,ZMW,3.0023
EUR,ALL,93.5731
EUR,AMD,434.5021
EUR,AOA,1064.4499
EUR,AUD,1.7406
EUR,AWG,2.0332
EUR,AZN,1.9312
EUR,BAM,1.9059
EUR,BBD,2.2787
EUR,BDT,137.9289
EUR,BIF,3365.294
EUR,BMD,1.1395
EUR,BND,1.4592
EUR,BOB,8.8388
EUR,BRL,6.1053
EUR,BSD,1.1378
EUR,BWP,16.3143
EUR,BZD,2.2792
EUR,CAD,1.5914
EUR,CDF,3265.2884
EUR,CHF,0.9163
EUR,CLP,1094.9152
EUR,CNY,8.177953
EUR,COP,4419.855
EUR,CRC,570.9455
EUR,CVE,107.4532
EUR,DJF,202.3669
EUR,DKK,7.331
EUR,DOP,72.3679
EUR,EGP,54.7092
EUR,ERN,17.0976
EUR,ETB,170.9062
EUR,FJD,2.5678
EUR,GBP,0.8493
EUR,GEL,3.0326
EUR,GHS,13.8761
EUR,GMD,83.205
EUR,GNF,9850.1899
EUR,GTQ,8.7251
EUR,GYD,242.7513
EUR,HKD,8.9494
EUR,HNL,29.6311
EUR,HTG,147.8542
EUR,IDR,18923
EUR,INR,101.2028
EUR,JMD,180.0244
EUR,JOD,0.8066
EUR,JPY,169.482
EUR,KES,147.2337
EUR,KGS,99.1417
EUR,KHR,4558.5161
EUR,KMF,478.4795
EUR,KYD,0.9432
EUR,KZT,611.4292
EUR,LAK,24704.711
EUR,LBP,102001.1586
EUR,LKR,343.9519
EUR,LSL,19.9909
EUR,MGA,4791.8941
EUR,MNT,4093.5474
EUR,MOP,9.1114
EUR,MVR,17.5745
EUR,MWK,1957.0209
EUR,MXN,21.4232
EUR,MYR,4.803
EUR,MZN,73.4489
EUR,NGN,1706.0975
EUR,NIO,41.7122
EUR,NOK,11.4082
EUR,NPR,159.8257
EUR,NZD,1.9345
EUR,PEN,3.9611
EUR,PGK,4.7604
EUR,PKR,322.7681
EUR,PYG,8169.3234
EUR,RWF,1655.0895
EUR,SBD,9.3002
EUR,SCR,16.4186
EUR,SEK,10.7462
EUR,SGD,1.4744766
EUR,SRD,43.8738
EUR,STN,23.8752
EUR,SZL,19.9934
EUR,THB,36.53
EUR,TOP,2.6705
EUR,TTD,7.6915
EUR,TWD,34.1729
EUR,TZS,2791.4942
EUR,UGX,3982.186
EUR,USD,1.1501
EUR,UYU,45.0126
EUR,VUV,133.8172
EUR,WST,3.1215
EUR,XCD,3.0634
EUR,XPF,115.9457
EUR,ZAR,20.1697
EUR,ZMW,27.352
USD,ALL,80.0064
USD,AMD,371.5281
USD,AOA,910.183
AUD,USD,0.64815
USD,AWG,1.7389
USD,AZN,1.6517
USD,BAM,1.63
USD,BBD,1.949
USD,BDT,117.9534
USD,BIF,2877.8446
USD,BMD,0.9745
USD,BND,1.2481
USD,BOB,7.5585
USD,BRL,5.2209
USD,BSD,0.973
USD,BWP,13.950416
USD,BZD,1.949
USD,CAD,1.3603
USD,CDF,2791.9425
USD,CHF,0.7832
USD,CLP,936.065
USD,CNY,6.99034
USD,COP,3779.2043
USD,CRC,488.1962
USD,CVE,91.8623
USD,DJF,173.0712
USD,DKK,6.2662
USD,DOP,61.8852
USD,EGP,46.776
USD,ERN,14.6175
USD,ETB,146.1298
EUR,USD,1.1501
USD,FJD,2.1962479
GBP,USD,1.3284
USD,GEL,2.5931
USD,GHS,11.8645
USD,GMD,71.1385
USD,GNF,8421.629
USD,GTQ,7.4593
USD,GYD,207.5685
USD,HKD,7.7666
USD,HNL,25.3428
USD,HTG,126.4413
USD,IDR,16175
USD,INR,86.5099
USD,JMD,153.971
USD,JOD,0.6899
USD,JPY,144.866
USD,KES,125.9054
USD,KGS,84.7815
USD,KHR,3898
USD,KMF,409.1561
USD,KYD,0.8063
USD,KZT,522.7664
USD,LAK,21123.262
USD,LBP,87217.75
USD,LKR,294.1771
USD,LSL,17.087222
USD,MGA,4097.7725
USD,MNT,3500.404
USD,MOP,7.7911
USD,MVR,15.0267
USD,MWK,1673.2394
USD,MXN,18.3102
USD,MYR,4.1075
USD,MZN,62.7967
USD,NGN,1458.8265
USD,NIO,35.6667
USD,NOK,9.7514
USD,NPR,136.6966
NZD,USD,0.5832
USD,PEN,3.3865
USD,PGK,4.0698417
USD,PKR,275.9881
USD,PYG,6987.165
USD,RWF,1415.5743
USD,SBD,7.9537853
USD,SCR,14.0425
USD,SEK,9.1867
USD,SGD,1.2603
USD,SRD,37.5182
USD,STN,20.4171
USD,SZL,17.0973
USD,THB,31.22
USD,TOP,2.2831517
USD,TTD,6.5767
USD,TWD,29.2256
USD,TZS,2387.525
USD,UGX,3405.8775
USD,UYU,38.4927
USD,VUV,114.4186
USD,WST,2.6694062
USD,XCD,2.6196
USD,XPF,99.1446
USD,ZAR,17.2382
USD,ZMW,23.388
